state	!=	$	&&	(	)	*	+	-	/	3	4	;	<	<=	=	==	>	>=	[	]	do	else	float	i	if	int	j	while	{	||	}	L	M	N	bool	decl	decls	expr	expr;	factor	id	num	rel	stmt	stmts	stmts'	term	type	
69	error	r65	error	r65	error	error	error	error	error	r65	r65	error	error	error	error	error	error	error	error	error	r65	error	error	r65	r65	error	r65	r65	r65	error	r65	error	53	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
70	error	r65	error	r65	error	error	error	error	error	r65	r65	error	error	error	error	error	error	error	error	error	r65	error	error	r65	r65	error	r65	r65	r65	error	r65	error	55	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
71	error	error	error	s25	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
72	error	r65	error	r65	error	error	error	error	error	r65	r65	error	error	error	error	error	error	error	error	error	r65	error	error	r65	r65	error	r65	r65	r65	error	r65	error	57	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
74	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	s70	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
76	error	error	r76	error	r76	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	r76	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
79	error	error	error	error	error	error	error	error	error	error	error	s102	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
80	error	error	error	r80	error	error	error	error	error	r80	r80	error	error	error	error	error	error	error	error	error	error	error	error	r80	error	error	r80	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
81	r81	error	r81	error	r81	r81	r81	r81	r81	error	error	r81	r81	r81	error	r81	r81	r81	error	r81	error	error	error	error	error	error	error	error	error	r81	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
82	error	error	error	r82	error	error	error	error	error	r82	r82	error	error	error	error	error	error	error	error	error	error	error	error	r82	error	error	r82	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
83	error	error	error	r83	error	error	error	error	error	r83	r83	error	error	error	error	error	error	error	error	error	error	error	error	r83	error	error	r83	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	error	
